120 Defects4J bugs,RewardRepair-Semantic,RewardRepair-Syntactic,Recorder pefect FL,Recorder PFL 120 ,SequenceR,original Coconut,Coconut in 120,SimFix,CapGen,TBar,TBar in 120,DLFIX in 120,Cure,Cure in 120 bugs,TBAR+Hercules+SimFix+DLFix
Lang_26,,,Closure_70,,,,,,,,,,,,
Chart_9,,,Closure_125,,,,,,,,,,,,
Mockito_24,,,Closure_126,,,,,,,,,,,,
Math_63,,,Lang_7,,,,,,,,,,,,
Closure_130,,,Lang_43,,,,,,,,,,,,
Closure_86,,,Lang_63,,,,,,,,,,,,
Chart_8,,,Math_58,,,,,,,,,,,,
Closure_14,,,Math_82,,,,,,,,,,,,
Mockito_28,,,Math_85,,,,,,,,,,,,
Closure_71,,,Time_19,,,,,,,,,,,,
Math_50,,,,,,,,,,,,,,,
Chart_13,,,,,,,,,,,,,,,
Time_19,,,,,,,,,,,,,,,
Chart_1,,,,,,,,,,,,,,,
Lang_38,,,,,,,,,,,,,,,
Lang_61,,,,,,,,,,,,,,,
Closure_77,,,,,,,,,,,,,,,
Closure_5,,,,,,,,,,,,,,,
Closure_114,,,,,,,,,,,,,,,
Time_4,,,,,,,,,,,,,,,
Closure_125,,,,,,,,,,,,,,,
Closure_1,,,,,,,,,,,,,,,
Lang_16,,,,,,,,,,,,,,,
Math_27,,,,,,,,,,,,,,,
Time_16,,,,,,,,,,,,,,,
Chart_20,,,,,,,,,,,,,,,
Closure_11,,,,,,,,,,,,,,,
Math_48,,,,,,,,,,,,,,,
Lang_29,,,,,,,,,,,,,,,
Math_85,,,,,,,,,,,,,,,
Lang_11,,,,,,,,,,,,,,,
Closure_126,,,,,,,,,,,,,,,
Lang_33,,,,,,,,,,,,,,,
Math_2,,,,,,,,,,,,,,,
Closure_104,,,,,,,,,,,,,,,
Closure_129,,,,,,,,,,,,,,,
Mockito_7,,,,,,,,,,,,,,,
Math_10,,,,,,,,,,,,,,,
Closure_38,,,,,,,,,,,,,,,
Mockito_8,,,,,,,,,,,,,,,
Math_33,,,,,,,,,,,,,,,
Closure_92,,,,,,,,,,,,,,,
Closure_66,,,,,,,,,,,,,,,
Closure_20,,,,,,,,,,,,,,,
Closure_52,,,,,,,,,,,,,,,
Lang_58,,,,,,,,,,,,,,,
Closure_55,,,,,,,,,,,,,,,
Closure_133,,,,,,,,,,,,,,,
Math_59,,,,,,,,,,,,,,,
Mockito_38,,,,,,,,,,,,,,,
Closure_57,,,,,,,,,,,,,,,
Math_105,,,,,,,,,,,,,,,
Closure_59,,,,,,,,,,,,,,,
Math_104,,,,,,,,,,,,,,,
Math_9,,,,,,,,,,,,,,,
Lang_49,,,,,,,,,,,,,,,
Lang_39,,,,,,,,,,,,,,,
Chart_12,,,,,,,,,,,,,,,
Lang_57,,,,,,,,,,,,,,,
